BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11955,,11955,"Technic, Gear 8 Tooth with Dual Face without Friction",10,8,Dark Gray,Solid Colors,1,0.2
13971,6044729,13971,Wheel 18mm D. x  8mm with Fake Bolts and Deep Spokes with Inner Ring,86,71,Light Bluish Gray,Solid Colors,1,1.02
15100,6282148,15100,"Technic, Pin with Friction Ridges and Pin Hole",1,15,White,Solid Colors,1,0.4
24316,6135494,24316,"Technic, Axle  3L with Stop",88,70,Reddish Brown,Solid Colors,3,0.45
2780,6279875,2780,"Technic, Pin with Short Friction Ridges",11,0,Black,Solid Colors,64,0.16
32009,6271156,32009,"Technic, Liftarm, Modified Bent Thick 1 x 11.5 Double",86,71,Light Bluish Gray,Solid Colors,2,3.46
32073,4166139,32073,"Technic, Axle  5L",1,15,White,Solid Colors,1,0.66
32073,4114740,32073,"Technic, Axle  5L",11,0,Black,Solid Colors,1,0.66
4265c,6271165,4265c,Technic Bush 1/2 Smooth,86,71,Light Bluish Gray,Solid Colors,2,0.1
44,4614799,44,"Technic, Axle and Pin Connector Toggle Joint Smooth",5,4,Red,Solid Colors,1,0.25
32140,6271824,32140,"Technic, Liftarm, Modified Bent Thick L-Shape 2 x 4",1,15,White,Solid Colors,3,1.43
32140,6271831,32140,"Technic, Liftarm, Modified Bent Thick L-Shape 2 x 4",86,71,Light Bluish Gray,Solid Colors,2,1.43
32184,6276951,32184,"Technic, Axle and Pin Connector Perpendicular 3L with Center Pin Hole",11,0,Black,Solid Colors,4,0.64
32269,6346517,32269,"Technic, Gear 20 Tooth Double Bevel",2,19,Tan,Solid Colors,4,1.4
32270,32270194,32270,"Technic, Gear 12 Tooth Double Bevel",86,71,Light Bluish Gray,Solid Colors,4,0.58
32278,4542578,32278,"Technic, Liftarm Thick 1 x 15",1,15,White,Solid Colors,3,4.0
32278,4542577,32278,"Technic, Liftarm Thick 1 x 15",86,71,Light Bluish Gray,Solid Colors,1,4.0
32316,4142135,32316,"Technic, Liftarm Thick 1 x 5",11,0,Black,Solid Colors,1,1.21
32316,4211651,32316,"Technic, Liftarm Thick 1 x 5",86,71,Light Bluish Gray,Solid Colors,3,1.21
32523,4142822,32523,"Technic, Liftarm Thick 1 x 3",11,0,Black,Solid Colors,3,0.7
32523,4208160,32523,"Technic, Liftarm Thick 1 x 3",1,15,White,Solid Colors,3,0.7
32523,4211655,32523,"Technic, Liftarm Thick 1 x 3",86,71,Light Bluish Gray,Solid Colors,1,0.7
32524,4495935,32524,"Technic, Liftarm Thick 1 x 7",11,0,Black,Solid Colors,1,1.74
32524,4495927,32524,"Technic, Liftarm Thick 1 x 7",1,15,White,Solid Colors,2,1.74
32524,4495930,32524,"Technic, Liftarm Thick 1 x 7",86,71,Light Bluish Gray,Solid Colors,3,1.74
32525,6028103,32525,"Technic, Liftarm Thick 1 x 11",1,15,White,Solid Colors,2,2.8
32526,4142823,32526,"Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5",11,0,Black,Solid Colors,7,1.77
32526,4585040,32526,"Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5",1,15,White,Solid Colors,1,1.77
3707,,3707,"Technic, Axle  8L",1,15,White,Solid Colors,2,1.18
3708,370826,3708,"Technic, Axle 12L",11,0,Black,Solid Colors,11,1.83
3713,6275844,3713,Technic Bush,86,71,Light Bluish Gray,Solid Colors,13,0.14
37312c01,,37312c01,"Electric Sensor, Force - SPIKE Prime",11,0,Black,Solid Colors,2,18.81
3743,4211450,3743,"Technic, Gear Rack 1 x 4",86,71,Light Bluish Gray,Solid Colors,43,0.79
3749,4666579,3749,"Technic, Axle  1L with Pin without Friction Ridges",2,19,Tan,Solid Colors,2,0.22
39367c02,6287602,39367c02,Wheel 56 x 14 Technic with Axle Hole and 8 Pin Holes with Fixed Black Rubber Tire,11,0,Black,Solid Colors,1,0
39790,6295161,39790,"Technic, Liftarm, Modified Frame Thick 11 x 15 Open Center",11,0,Black,Solid Colors,1,0
41239,4522934,41239,"Technic, Liftarm Thick 1 x 13",86,71,Light Bluish Gray,Solid Colors,2,3.3
42003,6273712,42003,"Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes",5,4,Red,Solid Colors,2,0.77
42003,6273708,42003,"Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin Holes",11,0,Black,Solid Colors,2,0.77
43093,4206482,43093,"Technic, Axle  1L with Pin with Friction Ridges",7,1,Blue,Solid Colors,8,0.26
44294,4211805,44294,"Technic, Axle  7L",86,71,Light Bluish Gray,Solid Colors,2,1.05
4519,,4519,"Technic, Axle  3L",1,15,White,Solid Colors,1,0.43
48989,6282158,48989,"Technic, Pin Connector Perpendicular 3L with 4 Pins",86,71,Light Bluish Gray,Solid Colors,9,1.22
54696c01,,54696c01,"Electric, Motor SPIKE Prime, Medium Angular",86,71,Light Bluish Gray,Solid Colors,5,49.53
56903,6013484,56903,Wheel 18mm D. x  8mm with Fake Bolts and Shallow Spokes and Axle Hole,1,15,White,Solid Colors,1,1.0
6538c,6212049,6538c,"Technic, Axle Connector 2L (Smooth with x Hole + Orientation)",1,15,White,Solid Colors,7,0.4
60479,4514842,60479,Plate 1 x 12,1,15,White,Solid Colors,1,1.95
60484,,60484,"Technic, Liftarm, Modified T-Shape Thick 3 x 3",1,15,White,Solid Colors,1,1.19
60485,6130010,60485,"Technic, Axle  9L",3,14,Yellow,Solid Colors,2,1.3
63869,6331441,63869,"Technic, Axle and Pin Connector Perpendicular Triple",86,71,Light Bluish Gray,Solid Colors,2,1.05
64178,4540797,64178,"Technic, Liftarm, Modified Frame Thick 5 x 11 Open Center",86,71,Light Bluish Gray,Solid Colors,1,7.0
64179,4539880,64179,"Technic, Liftarm, Modified Frame Thick 5 x 7 Open Center",86,71,Light Bluish Gray,Solid Colors,4,5.3
64179,6016154,64179,"Technic, Liftarm, Modified Frame Thick 5 x 7 Open Center",11,0,Black,Solid Colors,1,5.3
64781,6302830,64781,"Technic, Gear Rack 1 x 13 with Axle and Pin Holes",11,0,Black,Solid Colors,2,3.13
6536,6261373,6536,"Technic, Axle and Pin Connector Perpendicular",5,4,Red,Solid Colors,1,0.39
6558,6299413,6558,"Technic, Pin 3L with Friction Ridges",7,1,Blue,Solid Colors,30,0.31
87082,6321303,87082,"Technic, Pin 3L with Friction Ridges and Center Pin Hole",86,71,Light Bluish Gray,Solid Colors,2,0.5
94925,4640536,94925,"Technic, Gear 16 Tooth (Second Version - Reinforced)",86,71,Light Bluish Gray,Solid Colors,12,0.7
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
298,535.22,,,,,,,,
